"category","crops","country","value"
"fruits","mangifera indica","United States",371
"fruits","mangifera indica","Uruguay",79
"fruits","mangifera indica","Uzbekistan",0
"fruits","mangifera indica","Vanuatu",2
"fruits","mangifera indica","Venezuela, RB",26
"fruits","mangifera indica","Vietnam",66
"fruits","mangifera indica","Virgin Islands (U.S.)",4
"fruits","mangifera indica","Wallis and Futuna",1
"fruits","mangifera indica","Western Sahara",0
"fruits","mangifera indica","Yemen, Rep.",12
"fruits","mangifera indica","Zambia",7
"fruits","mangifera indica","Zimbabwe",6
"fruits","mangoes","Afghanistan",1
"fruits","mangoes","Aland Islands",0
"fruits","mangoes","Albania",0
"fruits","mangoes","Algeria",4
"fruits","mangoes","American Samoa",0
"fruits","mangoes","Andorra",1
"fruits","mangoes","Angola",1
"fruits","mangoes","Anguilla",2
"fruits","mangoes","Antarctica",4
"fruits","mangoes","Antigua and Barbuda",2
"fruits","mangoes","Argentina",90
"fruits","mangoes","Armenia",1
"fruits","mangoes","Aruba",1
"fruits","mangoes","Australia",192
"fruits","mangoes","Austria",7
"fruits","mangoes","Azerbaijan",0
"fruits","mangoes","Bahamas, The",3
"fruits","mangoes","Bahrain",3
"fruits","mangoes","Bangladesh",176
"fruits","mangoes","Barbados",9
"fruits","mangoes","Belarus",0
"fruits","mangoes","Belgium",8
"fruits","mangoes","Belize",1
"fruits","mangoes","Benin",49
"fruits","mangoes","Bermuda",14
"fruits","mangoes","Bhutan",6
"fruits","mangoes","Bolivia",0
"fruits","mangoes","Bonaire",0
"fruits","mangoes","Bosnia and Herzegovina",0
"fruits","mangoes","Botswana",3
"fruits","mangoes","Brazil",714
"fruits","mangoes","British Indian Ocean Territory",0
"fruits","mangoes","British Virgin Islands",4
"fruits","mangoes","Brunei Darussalam",16
"fruits","mangoes","Bulgaria",1
"fruits","mangoes","Burkina Faso",46
"fruits","mangoes","Burundi",1
"fruits","mangoes","Cabo Verde",0
"fruits","mangoes","Cambodia",9
"fruits","mangoes","Cameroon",51
"fruits","mangoes","Canada",45
"fruits","mangoes","Cayman Islands",0
"fruits","mangoes","Central African Republic",3
"fruits","mangoes","Chad",2
"fruits","mangoes","Chile",22
"fruits","mangoes","China",428
"fruits","mangoes","Christmas Island",0
"fruits","mangoes","Cocos Islands",0
"fruits","mangoes","Colombia",83
"fruits","mangoes","Comoros",4
"fruits","mangoes","Congo",3
"fruits","mangoes","Congo, Dem. Rep.",7
"fruits","mangoes","Congo, Rep.",19
"fruits","mangoes","Cook Islands",0
"fruits","mangoes","Costa Rica",34
"fruits","mangoes","Croatia",2
"fruits","mangoes","Cuba",32
"fruits","mangoes","Curaçao",0
"fruits","mangoes","Cyprus",4
"fruits","mangoes","Czechia",2
"fruits","mangoes","Côte d’Ivoire",33
"fruits","mangoes","Denmark",6
"fruits","mangoes","Djibouti",0
"fruits","mangoes","Dominica",4
"fruits","mangoes","Dominican Republic",14
"fruits","mangoes","Ecuador",14
"fruits","mangoes","Egypt, Arab Rep.",176
"fruits","mangoes","El Salvador",8
"fruits","mangoes","Equatorial Guinea",4
"fruits","mangoes","Eritrea",0
"fruits","mangoes","Estonia",2
"fruits","mangoes","Eswatini",2
"fruits","mangoes","Ethiopia",84
"fruits","mangoes","Falkland Islands",0
"fruits","mangoes","Faroe Islands",0
"fruits","mangoes","Fiji",11
"fruits","mangoes","Finland",3
"fruits","mangoes","France",77
"fruits","mangoes","French Guiana",6
"fruits","mangoes","French Polynesia",2
"fruits","mangoes","Gabon",4
"fruits","mangoes","Gambia, The",5
"fruits","mangoes","Georgia",1
"fruits","mangoes","Germany",26
"fruits","mangoes","Ghana",89
"fruits","mangoes","Gibraltar",0
"fruits","mangoes","Greece",10
"fruits","mangoes","Greenland",0
"fruits","mangoes","Grenada",3
"fruits","mangoes","Guadeloupe",6
"fruits","mangoes","Guam",1
"fruits","mangoes","Guatemala",8
"fruits","mangoes","Guernsey",0
"fruits","mangoes","Guinea",24
"fruits","mangoes","Guinea-Bissau",4
"fruits","mangoes","Guyana",2
"fruits","mangoes","Haiti",10
"fruits","mangoes","Holy See",0
"fruits","mangoes","Honduras",8
"fruits","mangoes","Hong Kong SAR, China",14
"fruits","mangoes","Hungary",2
"fruits","mangoes","Iceland",1
"fruits","mangoes","India",2174
"fruits","mangoes","Indonesia",214
"fruits","mangoes","Iran, Islamic Rep.",60
"fruits","mangoes","Iraq",8
"fruits","mangoes","Ireland",4
"fruits","mangoes","Isle of Man",0
"fruits","mangoes","Israel",37
"fruits","mangoes","Italy",54
"fruits","mangoes","Jamaica",14
"fruits","mangoes","Japan",116
"fruits","mangoes","Jersey",1
"fruits","mangoes","Jordan",3
"fruits","mangoes","Kazakhstan",2
"fruits","mangoes","Kenya",129
"fruits","mangoes","Kiribati",0
"fruits","mangoes","Korea, Rep.",31
"fruits","mangoes","Kosovo",0
"fruits","mangoes","Kuwait",4
"fruits","mangoes","Kyrgyz Republic",0
"fruits","mangoes","Lao PDR",10
"fruits","mangoes","Latvia",0
"fruits","mangoes","Lebanon",4
"fruits","mangoes","Lesotho",0
"fruits","mangoes","Liberia",3
"fruits","mangoes","Libya",2
"fruits","mangoes","Liechtenstein",0
"fruits","mangoes","Lithuania",1
